2020-10-21T13:00:18.618538+00:00,app[web.1]:,AB_TESTING:,B,1603285143249.00,1603285217736.00,mp1,exxodefdf,time to complete task,how many returns,which,TIME,,,RETURNS,,
2020-10-21T13:09:08.889851+00:00,app[web.1]:,AB_TESTING:,B,1603285745001.00,1603285748783.00,mp1,esypkmcvtd,,,,,,,,,
2020-10-21T13:09:09.102813+00:00,app[web.1]:,AB_TESTING:,B,1603285745001.00,1603285748996.00,mp1,esypkmcvtd,,,,,,,,,
2020-10-21T13:09:09.309583+00:00,app[web.1]:,AB_TESTING:,B,1603285745001.00,1603285749203.00,mp1,esypkmcvtd,,,,,,,,,
2020-10-21T13:09:09.515879+00:00,app[web.1]:,AB_TESTING:,B,1603285745001.00,1603285749408.00,mp1,esypkmcvtd,,,,,,,,,
2020-10-21T13:09:11.202307+00:00,app[web.1]:,AB_TESTING:,C,1603285751091.00,0.00,0,esypkmcvtd,6090.00,0,B,,,,,,
2020-10-21T13:10:46.530048+00:00,app[web.1]:,AB_TESTING:,A,1603285846188.00,0.00,0,ahxrnemj,,,,,,,,,
2020-10-21T13:10:49.059247+00:00,app[web.1]:,AB_TESTING:,A,1603285846188.00,1603285848943.00,mp1,ahxrnemj,,,,,,,,,
2020-10-21T13:10:49.704421+00:00,app[web.1]:,AB_TESTING:,A,1603285846188.00,1603285849590.00,mp1,ahxrnemj,,,,,,,,,
2020-10-21T13:10:50.138047+00:00,app[web.1]:,AB_TESTING:,A,1603285846188.00,1603285850021.00,mp1,ahxrnemj,,,,,,,,,
2020-10-21T13:10:51.024178+00:00,app[web.1]:,AB_TESTING:,A,1603285846188.00,1603285850903.00,mp2,ahxrnemj,,,,,,,,,
2020-10-21T13:10:51.248813+00:00,app[web.1]:,AB_TESTING:,A,1603285846188.00,1603285851139.00,mp2,ahxrnemj,,,,,,,,,
2020-10-21T13:10:51.471019+00:00,app[web.1]:,AB_TESTING:,A,1603285846188.00,1603285851361.00,mp2,ahxrnemj,,,,,,,,,
2020-10-21T13:10:53.355576+00:00,app[web.1]:,AB_TESTING:,A,1603285846188.00,1603285853243.00,mp4,ahxrnemj,,,,,,,,,
2020-10-21T13:10:53.582823+00:00,app[web.1]:,AB_TESTING:,A,1603285846188.00,1603285853465.00,mp4,ahxrnemj,,,,,,,,,
2020-10-21T13:10:53.808570+00:00,app[web.1]:,AB_TESTING:,A,1603285846188.00,1603285853700.00,mp4,ahxrnemj,,,,,,,,,
2020-10-21T13:10:55.818365+00:00,app[web.1]:,AB_TESTING:,A,1603285846188.00,1603285855697.00,mp3,ahxrnemj,,,,,,,,,
2020-10-21T13:10:56.048389+00:00,app[web.1]:,AB_TESTING:,A,1603285846188.00,1603285855931.00,mp3,ahxrnemj,,,,,,,,,
2020-10-21T13:10:56.276504+00:00,app[web.1]:,AB_TESTING:,A,1603285846188.00,1603285856157.00,mp3,ahxrnemj,,,,,,,,,
2020-10-21T13:10:57.184894+00:00,app[web.1]:,AB_TESTING:,A,1603285846188.00,1603285857073.00,mp3,ahxrnemj,,,,,,,,,
2020-10-21T13:11:00.836387+00:00,app[web.1]:,AB_TESTING:,C,1603285860718.00,0.00,0,ahxrnemj,,,,,,,,,
2020-10-21T13:11:03.137107+00:00,app[web.1]:,AB_TESTING:,A,1603285862787.00,0.00,0,crbcdbjfv,,,,,,,,,
2020-10-21T13:11:04.262337+00:00,app[web.1]:,AB_TESTING:,A,1603285864141.00,0.00,0,ahxrnemj,17953.00,1,A,,,,,,
2020-10-21T13:11:05.071051+00:00,app[web.1]:,AB_TESTING:,A,1603285862787.00,1603285864928.00,mp4,crbcdbjfv,,,,,,,,,
2020-10-21T13:11:05.360143+00:00,app[web.1]:,AB_TESTING:,A,1603285862787.00,1603285865215.00,mp4,crbcdbjfv,,,,,,,,,
2020-10-21T13:11:05.787076+00:00,app[web.1]:,AB_TESTING:,A,1603285862787.00,1603285865641.00,mp4,crbcdbjfv,,,,,,,,,
2020-10-21T13:11:06.116187+00:00,app[web.1]:,AB_TESTING:,A,1603285862787.00,1603285865965.00,mp4,crbcdbjfv,,,,,,,,,
2020-10-21T13:11:06.466277+00:00,app[web.1]:,AB_TESTING:,A,1603285862787.00,1603285866323.00,mp4,crbcdbjfv,,,,,,,,,
2020-10-21T13:11:08.869954+00:00,app[web.1]:,AB_TESTING:,C,1603285868727.00,0.00,0,crbcdbjfv,,,,,,,,,
2020-10-21T13:11:10.836269+00:00,app[web.1]:,AB_TESTING:,A,1603285870681.00,0.00,0,crbcdbjfv,7894.00,1,A,,,,,,
2020-10-21T13:11:37.389984+00:00,app[web.1]:,AB_TESTING:,A,1603285896593.00,0.00,0,mpcfsadfh,,,,,,,,,
2020-10-21T13:12:17.421696+00:00,app[web.1]:,AB_TESTING:,B,1603285937001.00,0.00,0,qkbtdls,,,,,,,,,
2020-10-21T13:12:18.699257+00:00,app[web.1]:,AB_TESTING:,B,1603285937001.00,1603285938284.00,mp1,qkbtdls,,,,,,,,,
2020-10-21T13:12:18.848947+00:00,app[web.1]:,AB_TESTING:,B,1603285937001.00,1603285938442.00,mp1,qkbtdls,,,,,,,,,
2020-10-21T13:12:19.527614+00:00,app[web.1]:,AB_TESTING:,B,1603285938032.00,0.00,0,xknngkto,,,,,,,,,
2020-10-21T13:12:19.716558+00:00,app[web.1]:,AB_TESTING:,B,1603285937001.00,1603285939307.00,mp2,qkbtdls,,,,,,,,,
2020-10-21T13:12:20.119441+00:00,app[web.1]:,AB_TESTING:,B,1603285937001.00,1603285939716.00,mp2,qkbtdls,,,,,,,,,
2020-10-21T13:12:20.330373+00:00,app[web.1]:,AB_TESTING:,B,1603285937001.00,1603285939930.00,mp2,qkbtdls,,,,,,,,,
2020-10-21T13:12:21.182817+00:00,app[web.1]:,AB_TESTING:,B,1603285937001.00,1603285940783.00,mp1,qkbtdls,,,,,,,,,
2020-10-21T13:12:21.595338+00:00,app[web.1]:,AB_TESTING:,B,1603285937001.00,1603285941191.00,mp1,qkbtdls,,,,,,,,,
2020-10-21T13:12:21.769472+00:00,app[web.1]:,AB_TESTING:,B,1603285937001.00,1603285941371.00,mp1,qkbtdls,,,,,,,,,
2020-10-21T13:12:22.074203+00:00,app[web.1]:,AB_TESTING:,B,1603285937001.00,1603285941678.00,mp1,qkbtdls,,,,,,,,,
2020-10-21T13:12:22.291221+00:00,app[web.1]:,AB_TESTING:,B,1603285937001.00,1603285941893.00,mp1,qkbtdls,,,,,,,,,
2020-10-21T13:12:23.752891+00:00,app[web.1]:,AB_TESTING:,B,1603285937001.00,1603285943353.00,mp3,qkbtdls,,,,,,,,,
2020-10-21T13:12:24.834383+00:00,app[web.1]:,AB_TESTING:,C,1603285944428.00,0.00,0,qkbtdls,7427.00,0,B,,,,,,
2020-10-21T13:12:47.235566+00:00,app[web.1]:,AB_TESTING:,A,1603285967067.00,0.00,0,dkkyzwdp,,,,,,,,,
2020-10-21T13:12:48.972110+00:00,app[web.1]:,AB_TESTING:,A,1603285967067.00,1603285968860.00,mp4,dkkyzwdp,,,,,,,,,
2020-10-21T13:12:49.188765+00:00,app[web.1]:,AB_TESTING:,A,1603285967067.00,1603285969077.00,mp4,dkkyzwdp,,,,,,,,,
2020-10-21T13:12:49.427902+00:00,app[web.1]:,AB_TESTING:,A,1603285967067.00,1603285969308.00,mp4,dkkyzwdp,,,,,,,,,
2020-10-21T13:12:49.657780+00:00,app[web.1]:,AB_TESTING:,A,1603285967067.00,1603285969545.00,mp4,dkkyzwdp,,,,,,,,,
2020-10-21T13:12:49.871231+00:00,app[web.1]:,AB_TESTING:,A,1603285967067.00,1603285969761.00,mp4,dkkyzwdp,,,,,,,,,
2020-10-21T13:12:51.704102+00:00,app[web.1]:,AB_TESTING:,C,1603285971586.00,0.00,0,dkkyzwdp,,,,,,,,,
2020-10-21T13:12:54.284371+00:00,app[web.1]:,AB_TESTING:,A,1603285974195.00,0.00,0,cwvchxzylv,,,,,,,,,
2020-10-21T13:12:58.446532+00:00,app[web.1]:,AB_TESTING:,A,1603285978328.00,0.00,0,dkkyzwdp,11261.00,1,A,,,,,,
2020-10-21T13:13:23.158848+00:00,app[web.1]:,AB_TESTING:,B,1603286002841.00,0.00,0,mkkpnkhme,,,,,,,,,
2020-10-21T13:13:25.379765+00:00,app[web.1]:,AB_TESTING:,B,1603286002841.00,1603286005273.00,mp1,mkkpnkhme,,,,,,,,,
2020-10-21T13:13:25.740275+00:00,app[web.1]:,AB_TESTING:,B,1603286002841.00,1603286005629.00,mp1,mkkpnkhme,,,,,,,,,
2020-10-21T13:13:26.544639+00:00,app[web.1]:,AB_TESTING:,B,1603286002841.00,1603286006441.00,mp3,mkkpnkhme,,,,,,,,,
2020-10-21T13:13:26.771299+00:00,app[web.1]:,AB_TESTING:,B,1603286002841.00,1603286006659.00,mp3,mkkpnkhme,,,,,,,,,
2020-10-21T13:13:27.003515+00:00,app[web.1]:,AB_TESTING:,B,1603286002841.00,1603286006895.00,mp3,mkkpnkhme,,,,,,,,,
2020-10-21T13:13:27.813554+00:00,app[web.1]:,AB_TESTING:,B,1603286002841.00,1603286007707.00,mp4,mkkpnkhme,,,,,,,,,
2020-10-21T13:13:28.063018+00:00,app[web.1]:,AB_TESTING:,B,1603286002841.00,1603286007959.00,mp4,mkkpnkhme,,,,,,,,,
2020-10-21T13:13:28.344039+00:00,app[web.1]:,AB_TESTING:,B,1603286002841.00,1603286008243.00,mp4,mkkpnkhme,,,,,,,,,
2020-10-21T13:13:28.616047+00:00,app[web.1]:,AB_TESTING:,B,1603286002841.00,1603286008511.00,mp4,mkkpnkhme,,,,,,,,,
2020-10-21T13:13:29.039886+00:00,app[web.1]:,AB_TESTING:,B,1603286002841.00,1603286008933.00,mp4,mkkpnkhme,,,,,,,,,
2020-10-21T13:13:33.153062+00:00,app[web.1]:,AB_TESTING:,C,1603286013032.00,0.00,0,mkkpnkhme,,,,,,,,,
2020-10-21T13:13:34.857399+00:00,app[web.1]:,AB_TESTING:,B,1603286014754.00,0.00,0,mkkpnkhme,11913.00,1,B,,,,,,
2020-10-21T13:14:22.400909+00:00,app[web.1]:,AB_TESTING:,A,1603285974195.00,1603286062251.00,mp1,cwvchxzylv,,,,,,,,,
2020-10-21T13:14:22.483773+00:00,app[web.1]:,AB_TESTING:,A,1603285974195.00,1603286062453.00,mp1,cwvchxzylv,,,,,,,,,
2020-10-21T13:14:22.612207+00:00,app[web.1]:,AB_TESTING:,A,1603285974195.00,1603286062584.00,mp1,cwvchxzylv,,,,,,,,,
2020-10-21T13:14:22.823173+00:00,app[web.1]:,AB_TESTING:,A,1603285974195.00,1603286062784.00,mp1,cwvchxzylv,,,,,,,,,
2020-10-21T13:14:24.490932+00:00,app[web.1]:,AB_TESTING:,A,1603285974195.00,1603286064451.00,mp1,cwvchxzylv,,,,,,,,,
2020-10-21T13:14:25.585426+00:00,app[web.1]:,AB_TESTING:,A,1603285974195.00,1603286065553.00,mp3,cwvchxzylv,,,,,,,,,
2020-10-21T13:14:25.795570+00:00,app[web.1]:,AB_TESTING:,A,1603285974195.00,1603286065769.00,mp3,cwvchxzylv,,,,,,,,,
2020-10-21T13:14:29.063532+00:00,app[web.1]:,AB_TESTING:,A,1603285974195.00,1603286069031.00,mp4,cwvchxzylv,,,,,,,,,
2020-10-21T13:14:30.158965+00:00,app[web.1]:,AB_TESTING:,A,1603285974195.00,1603286070135.00,mp1,cwvchxzylv,,,,,,,,,
2020-10-21T13:14:31.895525+00:00,app[web.1]:,AB_TESTING:,C,1603286071809.00,0.00,0,cwvchxzylv,97614.00,0,A,,,,,,
2020-10-21T13:14:56.755782+00:00,app[web.1]:,AB_TESTING:,A,1603286096681.00,0.00,0,nzmtwejm,,,,,,,,,
2020-10-21T13:14:57.792268+00:00,app[web.1]:,AB_TESTING:,A,1603286096681.00,1603286097750.00,mp1,nzmtwejm,,,,,,,,,
2020-10-21T13:14:58.539205+00:00,app[web.1]:,AB_TESTING:,A,1603286096681.00,1603286098501.00,mp2,nzmtwejm,,,,,,,,,
2020-10-21T13:14:59.535258+00:00,app[web.1]:,AB_TESTING:,A,1603286096681.00,1603286099495.00,mp3,nzmtwejm,,,,,,,,,
2020-10-21T13:15:00.443626+00:00,app[web.1]:,AB_TESTING:,A,1603286096681.00,1603286100407.00,mp4,nzmtwejm,,,,,,,,,
2020-10-21T13:15:00.620702+00:00,app[web.1]:,AB_TESTING:,A,1603286096681.00,1603286100584.00,mp4,nzmtwejm,,,,,,,,,
2020-10-21T13:15:00.813609+00:00,app[web.1]:,AB_TESTING:,A,1603286096681.00,1603286100778.00,mp4,nzmtwejm,,,,,,,,,
2020-10-21T13:15:01.007019+00:00,app[web.1]:,AB_TESTING:,A,1603286096681.00,1603286100965.00,mp4,nzmtwejm,,,,,,,,,
2020-10-21T13:15:01.175633+00:00,app[web.1]:,AB_TESTING:,A,1603286096681.00,1603286101134.00,mp4,nzmtwejm,,,,,,,,,
2020-10-21T13:15:01.345863+00:00,app[web.1]:,AB_TESTING:,A,1603286096681.00,1603286101312.00,mp4,nzmtwejm,,,,,,,,,
2020-10-21T13:15:01.524940+00:00,app[web.1]:,AB_TESTING:,A,1603286096681.00,1603286101490.00,mp4,nzmtwejm,,,,,,,,,
2020-10-21T13:15:01.704005+00:00,app[web.1]:,AB_TESTING:,A,1603286096681.00,1603286101667.00,mp4,nzmtwejm,,,,,,,,,
2020-10-21T13:15:04.494225+00:00,app[web.1]:,AB_TESTING:,C,1603286104446.00,0.00,0,nzmtwejm,7765.00,0,A,,,,,,
2020-10-21T13:16:18.468037+00:00,app[web.1]:,AB_TESTING:,A,1603285896593.00,1603286177417.00,mp3,mpcfsadfh,,,,,,,,,
2020-10-21T13:16:18.697583+00:00,app[web.1]:,AB_TESTING:,A,1603285896593.00,1603286178513.00,mp4,mpcfsadfh,,,,,,,,,
2020-10-21T13:16:19.048701+00:00,app[web.1]:,AB_TESTING:,A,1603285896593.00,1603286178859.00,mp3,mpcfsadfh,,,,,,,,,
2020-10-21T13:16:19.760291+00:00,app[web.1]:,AB_TESTING:,A,1603285896593.00,1603286179568.00,mp4,mpcfsadfh,,,,,,,,,
2020-10-21T13:16:20.517936+00:00,app[web.1]:,AB_TESTING:,A,1603285896593.00,1603286180220.00,mp3,mpcfsadfh,,,,,,,,,
2020-10-21T13:16:21.126558+00:00,app[web.1]:,AB_TESTING:,A,1603285896593.00,1603286180937.00,mp4,mpcfsadfh,,,,,,,,,
2020-10-21T13:16:21.758305+00:00,app[web.1]:,AB_TESTING:,A,1603285896593.00,1603286181565.00,mp3,mpcfsadfh,this is the one that waited,,,,,,,,
2020-10-21T13:16:25.092232+00:00,app[web.1]:,AB_TESTING:,C,1603286184889.00,0.00,0,mpcfsadfh,288296.00,0,A,,,,,,
2020-10-21T13:17:35.012264+00:00,app[web.1]:,AB_TESTING:,A,1603286228884.00,0.00,0,abqadxd,,,,,,,,,
2020-10-21T13:17:45.360092+00:00,app[web.1]:,AB_TESTING:,A,1603286228884.00,1603286239308.00,mp1,abqadxd,,,,,,,,,
2020-10-21T13:17:46.740502+00:00,app[web.1]:,AB_TESTING:,A,1603286228884.00,1603286240683.00,mp2,abqadxd,,,,,,,,,
2020-10-21T13:17:48.135763+00:00,app[web.1]:,AB_TESTING:,A,1603286228884.00,1603286242080.00,mp3,abqadxd,,,,,,,,,
2020-10-21T13:17:49.328513+00:00,app[web.1]:,AB_TESTING:,A,1603286228884.00,1603286243273.00,mp4,abqadxd,,,,,,,,,
2020-10-21T13:17:50.242852+00:00,app[web.1]:,AB_TESTING:,A,1603286228884.00,1603286244162.00,mp4,abqadxd,,,,,,,,,
2020-10-21T13:17:54.307284+00:00,app[web.1]:,AB_TESTING:,A,1603286228884.00,1603286248246.00,mp2,abqadxd,,,,,,,,,
2020-10-21T13:17:56.870309+00:00,app[web.1]:,AB_TESTING:,A,1603286228884.00,1603286250811.00,mp3,abqadxd,,,,,,,,,
2020-10-21T13:17:58.068112+00:00,app[web.1]:,AB_TESTING:,A,1603286228884.00,1603286252012.00,mp3,abqadxd,,,,,,,,,
2020-10-21T13:18:01.734100+00:00,app[web.1]:,AB_TESTING:,C,1603286255664.00,0.00,0,abqadxd,26780.00,0,A,,,,,,
2020-10-21T13:27:48.171378+00:00,app[web.1]:,AB_TESTING:,A,1603286867470.00,0.00,0,bhrpppe,,,,,,,,,
2020-10-21T13:30:18.499749+00:00,app[web.1]:,AB_TESTING:,A,1603286867470.00,1603287017492.00,mp4,bhrpppe,,,,,,,,,
2020-10-21T13:30:18.806208+00:00,app[web.1]:,AB_TESTING:,A,1603286867470.00,1603287018647.00,mp4,bhrpppe,,,,,,,,,
2020-10-21T13:30:19.121910+00:00,app[web.1]:,AB_TESTING:,A,1603286867470.00,1603287018960.00,mp4,bhrpppe,,,,,,,,,
2020-10-21T13:30:19.402928+00:00,app[web.1]:,AB_TESTING:,A,1603286867470.00,1603287019250.00,mp4,bhrpppe,,,,,,,,,
2020-10-21T13:30:19.710714+00:00,app[web.1]:,AB_TESTING:,A,1603286867470.00,1603287019547.00,mp4,bhrpppe,,,,,,,,,
2020-10-21T13:30:20.023081+00:00,app[web.1]:,AB_TESTING:,A,1603286867470.00,1603287019855.00,mp4,bhrpppe,,,,,,,,,
2020-10-21T13:30:20.338675+00:00,app[web.1]:,AB_TESTING:,A,1603286867470.00,1603287020154.00,mp4,bhrpppe,,,,,,,,,
2020-10-21T13:30:22.882535+00:00,app[web.1]:,AB_TESTING:,C,1603287022711.00,0.00,0,bhrpppe,155241.00,0,A,,,,,,
2020-10-21T21:34:54.732065+00:00,app[web.1]:,AB_TESTING:,A,1603316094664.00,0.00,0,mabbomhi,,,,,,,,,
2020-10-21T21:35:00.378959+00:00,app[web.1]:,AB_TESTING:,A,1603316094664.00,1603316100363.00,mp1,mabbomhi,,,,,,,,,
2020-10-21T21:35:03.282020+00:00,app[web.1]:,AB_TESTING:,A,1603316094664.00,1603316103255.00,mp2,mabbomhi,,,,,,,,,
2020-10-21T21:35:06.213931+00:00,app[web.1]:,AB_TESTING:,A,1603316094664.00,1603316106201.00,mp3,mabbomhi,,,,,,,,,
2020-10-21T21:35:07.779740+00:00,app[web.1]:,AB_TESTING:,A,1603316094664.00,1603316107697.00,mp4,mabbomhi,,,,,,,,,
2020-10-21T21:35:08.183012+00:00,app[web.1]:,AB_TESTING:,A,1603316094664.00,1603316108170.00,mp4,mabbomhi,,,,,,,,,
2020-10-21T21:35:09.824018+00:00,app[web.1]:,AB_TESTING:,A,1603316094664.00,1603316109813.00,mp2,mabbomhi,,,,,,,,,
2020-10-21T21:35:11.054948+00:00,app[web.1]:,AB_TESTING:,A,1603316094664.00,1603316111045.00,mp1,mabbomhi,,,,,,,,,
2020-10-21T21:35:13.178903+00:00,app[web.1]:,AB_TESTING:,C,1603316113165.00,0.00,0,mabbomhi,,,,,,,,,
2020-10-21T21:35:15.993565+00:00,app[web.1]:,AB_TESTING:,A,1603316115981.00,0.00,0,mabbomhi,,,,,,,,,
2020-10-21T21:35:17.449108+00:00,app[web.1]:,AB_TESTING:,A,1603316115981.00,1603316117438.00,mp3,mabbomhi,,,,,,,,,
2020-10-21T21:35:19.861085+00:00,app[web.1]:,AB_TESTING:,C,1603316119559.00,0.00,0,mabbomhi,,,,,,,,,
2020-10-21T21:35:23.592599+00:00,app[web.1]:,AB_TESTING:,A,1603316123570.00,0.00,0,mabbomhi,28906.00,2,A,,,,,,
2020-10-21T21:37:48.763982+00:00,app[web.1]:,AB_TESTING:,B,1603316268523.00,0.00,0,ghbonaxk,,,,,,,,,
2020-10-21T21:37:50.500301+00:00,app[web.1]:,AB_TESTING:,B,1603316268523.00,1603316270261.00,mp1,ghbonaxk,,,,,,,,,
2020-10-21T21:37:50.625772+00:00,app[web.1]:,AB_TESTING:,B,1603316268523.00,1603316270386.00,mp1,ghbonaxk,,,,,,,,,
2020-10-21T21:37:51.136151+00:00,app[web.1]:,AB_TESTING:,B,1603316268523.00,1603316270893.00,mp2,ghbonaxk,,,,,,,,,
2020-10-21T21:37:51.284142+00:00,app[web.1]:,AB_TESTING:,B,1603316268523.00,1603316271043.00,mp2,ghbonaxk,,,,,,,,,
